Date,Open,High,Low,Close,Adj Close,Volume
2001-10-20,50.619999,52.799999,49.330002,52.349998,17.609446,12577000
2001-10-27,52.099998,52.990002,50.259998,50.889999,17.118334,10920200
2001-11-03,51.200001,52.360001,49.349998,52.349998,17.609446,18385000
2001-11-10,51.049999,52.250000,45.619999,48.939999,16.462395,19829600
2001-11-17,48.599998,50.200001,47.320000,49.900002,16.785316,9744600
2001-11-24,48.939999,49.150002,47.549999,48.340000,16.260565,13155800
2001-12-01,48.900002,50.279999,47.799999,49.000000,16.482578,12587000
2001-12-08,48.110001,48.980000,46.320000,47.430000,15.954466,12240400
2001-12-15,47.869999,48.459999,46.700001,47.660000,16.031828,18444000
2001-12-22,48.349998,50.060001,48.049999,49.790001,16.748314,6723100
2001-12-29,49.020000,49.880001,48.639999,49.259998,16.570038,9968400
2002-01-05,48.470001,49.330002,48.049999,48.270000,16.237015,11823100
2002-01-12,47.400002,48.500000,46.619999,46.770000,15.732453,11652800
2002-01-19,46.770000,49.450001,46.689999,49.160000,16.536400,12338800
2002-01-26,49.299999,50.619999,48.209999,50.439999,16.966959,13352100
2002-02-02,49.869999,50.520000,48.590000,49.130001,16.526304,10714900
2002-02-09,49.740002,50.650002,48.919998,50.400002,16.953510,11025600
2002-02-16,50.400002,51.090000,48.689999,50.950001,17.138514,8864800
2002-02-23,51.259998,52.240002,50.700001,52.240002,17.572447,13194300
2002-03-02,52.700001,54.340000,52.000000,53.660000,18.050108,10614300
2002-03-09,54.650002,54.990002,54.160000,54.790001,18.430212,11127200
2002-03-16,55.020000,55.480000,53.689999,53.799999,18.097193,9893300
2002-03-23,52.799999,54.650002,52.799999,54.320000,18.272110,8111200
2002-03-30,55.090000,55.650002,52.759998,52.919998,17.801188,11569800
2002-04-06,53.060001,53.590000,51.230000,51.240002,17.236069,13945700
2002-04-13,52.490002,54.889999,52.240002,54.660000,18.386488,15088400
2002-04-20,53.880001,54.400002,51.790001,51.959999,17.478258,11881800
2002-04-27,52.009998,55.049999,51.660000,54.669998,18.389843,13070900
2002-05-04,53.410000,54.590000,53.250000,54.009998,18.167841,11804900
2002-05-11,55.259998,56.340000,54.220001,55.810001,18.773317,11223000
2002-05-18,54.540001,56.099998,54.430000,55.720001,19.043177,9266800
2002-05-25,55.720001,56.040001,54.029999,55.000000,18.797108,9275900
2002-06-01,54.450001,55.270000,53.529999,54.000000,18.455341,13070900
2002-06-08,52.849998,54.250000,50.480000,51.099998,17.464220,17463700
2002-06-15,53.020000,53.590000,51.450001,52.360001,17.894852,17233800
2002-06-22,52.110001,55.599998,51.150002,55.270000,18.889389,17082400
2002-06-29,55.169998,57.169998,53.650002,57.160000,19.535330,13702900
2002-07-06,56.750000,57.299999,48.320000,48.799999,16.678164,43640800
2002-07-13,46.299999,47.700001,42.000000,42.000000,14.354158,251127700
2002-07-20,40.900002,43.189999,39.650002,42.709999,14.596818,101389400
2002-07-27,44.380001,45.889999,41.950001,42.259998,14.443018,47364000
2002-08-03,41.029999,46.169998,40.990002,45.709999,15.884362,27726200
2002-08-10,44.910000,46.049999,43.680000,45.299999,15.741885,24399600
2002-08-17,45.779999,47.000000,44.240002,45.980000,15.978191,21895200
2002-08-24,45.919998,47.220001,44.150002,45.200001,15.707132,14189100
2002-08-31,45.200001,45.200001,41.310001,43.259998,15.032975,17295100
2002-09-07,43.200001,44.900002,42.299999,42.959999,14.928726,13352600
